Location;Date Time;Temperature;Humidity
C.A.3.E;2020-09-11 01:32:00;27,58;75,55
A.E.S.E;2020-09-11 02:07:00;31,92;34,68
C.D.3.A;2020-09-11 03:28:00;20,27;64,2
C.D.3.D;2020-09-11 03:41:00;32,87;32,44
D.C.S.D;2020-09-11 03:55:00;17,52;61,91
D.E.1.B;2020-09-11 04:13:00;14,69;33,48
B.E.1.D;2020-09-11 04:29:00;26,67;40,99
D.A.1.E;2020-09-11 04:48:00;17,14;33,54
B.D.3.D;2020-09-11 05:08:00;15,27;80,96
A.B.0.A;2020-09-11 07:10:00;18,52;64,48
E.E.S.C;2020-09-11 09:09:00;32,81;51,4
C.B.0.C;2020-09-11 09:10:00;24,58;11,43
B.A.1.D;2020-09-11 09:15:00;16,68;91,94
C.C.S.C;2020-09-11 10:01:00;29,7;83,33
C.D.1.A;2020-09-11 10:14:00;20,55;81,38
E.B.2.A;2020-09-11 11:17:00;20,32;30,6
B.C.3.B;2020-09-11 11:39:00;12,64;9,3
D.D.3.A;2020-09-11 12:29:00;14,98;71,9
A.A.3.D;2020-09-11 13:00:00;11,72;88,8
E.D.2.C;2020-09-11 13:44:00;12,11;12,4
B.D.0.A;2020-09-11 13:52:00;24,58;6,04
E.E.2.D;2020-09-11 14:03:00;10,56;9,34
C.D.1.C;2020-09-11 15:16:00;36,01;82,69
E.C.2.E;2020-09-11 15:25:00;29,49;95,37
C.A.2.A;2020-09-11 16:41:00;19,91;27,22
C.A.0.A;2020-09-11 17:31:00;27,76;51,62
C.A.0.E;2020-09-11 18:40:00;32,21;29,85
E.C.3.C;2020-09-11 19:29:00;10,42;11,66
A.A.S.D;2020-09-11 19:55:00;11,61;28,79
B.D.1.D;2020-09-11 20:20:00;25,82;15,86
C.E.1.C;2020-09-11 21:00:00;30,43;31,59
A.A.S.B;2020-09-11 21:45:00;36,89;50,0
E.C.1.E;2020-09-11 22:59:00;33,77;37,08
D.D.S.D;2020-09-12 00:08:00;23,07;86,38
D.C.3.C;2020-09-12 01:16:00;12,58;75,41
B.C.S.B;2020-09-12 01:54:00;28,93;59,13
C.E.3.A;2020-09-12 02:12:00;29,49;94,18
A.C.0.D;2020-09-12 04:38:00;14,18;67,0
A.E.1.D;2020-09-12 04:56:00;13,53;75,87
B.B.3.B;2020-09-12 05:01:00;12,32;95,88
B.A.0.A;2020-09-12 05:43:00;28,95;75,55
A.A.2.D;2020-09-12 06:02:00;22,54;39,0
A.C.3.C;2020-09-12 06:24:00;21,41;30,12
B.C.0.C;2020-09-12 06:26:00;30,87;87,8
E.A.1.D;2020-09-12 06:36:00;14,72;87,18
A.B.2.E;2020-09-12 07:50:00;29,34;38,23
A.B.0.B;2020-09-12 09:42:00;19,36;71,53
D.A.S.A;2020-09-12 10:08:00;19,65;81,18
C.B.3.D;2020-09-12 10:43:00;36,96;54,66
C.E.3.B;2020-09-12 11:33:00;23,02;55,99
E.A.0.D;2020-09-12 11:57:00;18,65;52,53
E.E.S.D;2020-09-12 12:12:00;28,13;56,63
B.D.3.D;2020-09-12 12:14:00;14,29;75,59
C.E.S.A;2020-09-12 12:17:00;25,5;66,97
E.D.3.D;2020-09-12 13:20:00;24,56;27,74
D.E.1.C;2020-09-12 13:56:00;17,87;91,7
D.A.3.B;2020-09-12 14:09:00;37,12;74,0
B.D.3.D;2020-09-12 14:59:00;29,92;75,1
C.D.3.A;2020-09-12 15:03:00;20,92;83,4
C.E.2.C;2020-09-12 15:15:00;29,03;15,0
B.A.S.E;2020-09-12 15:23:00;29,73;70,85
B.D.0.C;2020-09-12 15:58:00;17,97;91,66
C.E.2.B;2020-09-12 18:55:00;28,81;98,97
E.C.0.D;2020-09-12 19:16:00;34,11;74,1
C.D.1.B;2020-09-12 19:48:00;29,75;14,07
D.D.2.C;2020-09-12 20:02:00;11,73;31,96
D.C.1.E;2020-09-12 20:06:00;13,66;68,71
D.D.1.A;2020-09-12 20:10:00;29,62;90,59
C.D.S.D;2020-09-12 20:27:00;22,3;83,92
E.E.0.E;2020-09-12 21:05:00;16,94;49,7
E.A.S.B;2020-09-12 21:21:00;34,49;82,02
E.A.1.A;2020-09-12 21:25:00;31,23;73,66
B.E.0.A;2020-09-12 21:33:00;33,22;33,69
D.B.3.D;2020-09-12 22:15:00;23,75;2,0
C.A.0.C;2020-09-12 22:16:00;10,38;40,49
D.E.3.A;2020-09-12 22:17:00;21,75;52,89
D.B.S.D;2020-09-12 22:32:00;26,44;3,93
C.C.0.D;2020-09-12 23:15:00;17,46;11,48
D.E.1.C;2020-09-12 23:27:00;16,57;18,09
B.B.3.E;2020-09-13 00:27:00;28,81;4,35
C.A.1.B;2020-09-13 01:01:00;10,13;54,9
E.E.2.B;2020-09-13 01:28:00;21,07;13,83
A.B.S.B;2020-09-13 01:34:00;15,49;56,14
C.A.1.D;2020-09-13 01:44:00;25,18;66,95
C.D.3.D;2020-09-13 02:14:00;32,14;26,24
C.B.S.E;2020-09-13 03:03:00;30,18;9,78
B.E.0.A;2020-09-13 03:14:00;13,44;30,32
D.D.0.C;2020-09-13 04:51:00;12,04;38,97
E.A.0.C;2020-09-13 06:33:00;15,92;62,25
C.C.1.B;2020-09-13 06:36:00;19,21;62,4
B.A.S.E;2020-09-13 08:08:00;18,31;46,9
C.C.S.E;2020-09-13 08:34:00;36,22;31,76
A.D.3.B;2020-09-13 08:41:00;35,24;20,04
D.E.2.E;2020-09-13 08:49:00;21,93;0,4
D.D.3.B;2020-09-13 09:14:00;20,6;58,47
A.E.3.A;2020-09-13 09:21:00;11,71;64,5
A.D.0.A;2020-09-13 09:51:00;21,8;84,02
C.B.0.D;2020-09-13 10:34:00;30,51;1,1
C.A.1.C;2020-09-13 13:51:00;22,59;23,8
D.B.S.D;2020-09-13 13:51:00;11,37;15,59
C.A.S.A;2020-09-13 14:10:00;32,54;22,57
D.A.0.B;2020-09-13 14:11:00;24,44;97,26
D.B.2.C;2020-09-13 14:16:00;28,46;43,78
C.B.0.E;2020-09-13 15:17:00;35,08;54,73
E.A.1.E;2020-09-13 15:18:00;11,87;76,65
D.A.2.E;2020-09-13 15:54:00;24,66;38,77
C.A.1.E;2020-09-13 16:03:00;31,97;27,68
B.A.0.D;2020-09-13 16:46:00;26,32;21,21
B.C.0.B;2020-09-13 17:03:00;14,53;15,4
E.E.1.E;2020-09-13 17:11:00;16,46;41,95
A.D.S.B;2020-09-13 17:45:00;34,32;0,86
B.C.1.E;2020-09-13 18:04:00;18,56;13,2
A.D.3.E;2020-09-13 18:33:00;34,75;2,99
E.C.3.B;2020-09-13 19:03:00;30,64;30,87
A.B.1.C;2020-09-13 19:22:00;36,76;93,1
E.A.0.A;2020-09-13 21:03:00;16,97;5,28
E.A.3.E;2020-09-13 21:12:00;25,66;0,03
D.D.S.E;2020-09-13 21:42:00;26,77;0,9
E.D.1.C;2020-09-13 21:57:00;31,36;20,8
E.C.3.D;2020-09-13 22:04:00;26,31;46,4
C.D.2.C;2020-09-13 22:49:00;26,41;71,22
B.D.1.C;2020-09-13 23:09:00;24,47;71,97
D.C.1.E;2020-09-13 23:43:00;28,79;19,92
E.E.2.C;2020-09-14 01:33:00;36,21;97,36
B.D.S.B;2020-09-14 02:01:00;30,89;27,34
C.B.2.A;2020-09-14 02:06:00;34,25;41,41
B.A.1.D;2020-09-14 03:59:00;33,88;50,9
D.A.S.D;2020-09-14 04:00:00;18,91;17,3
D.B.S.B;2020-09-14 04:02:00;34,53;19,77
D.D.1.C;2020-09-14 04:22:00;29,82;35,51
E.D.0.B;2020-09-14 04:50:00;23,35;11,39
E.C.2.C;2020-09-14 06:15:00;10,92;74,12
C.B.1.E;2020-09-14 06:23:00;19,51;99,44
D.A.2.C;2020-09-14 06:28:00;18,17;56,13
E.A.3.D;2020-09-14 06:40:00;32,97;76,96
A.D.1.E;2020-09-14 06:42:00;29,4;2,68
D.C.2.C;2020-09-14 07:38:00;24,95;29,85
C.D.S.A;2020-09-14 08:48:00;22,78;69,27
D.C.S.B;2020-09-14 09:57:00;19,05;89,68
E.E.2.C;2020-09-14 11:40:00;22,78;98,17
A.D.3.A;2020-09-14 11:52:00;32,18;70,34
B.E.1.B;2020-09-14 11:53:00;10,28;24,59
A.C.0.E;2020-09-14 12:15:00;20,07;80,03
A.A.2.E;2020-09-14 13:46:00;15,07;76,31
D.B.2.A;2020-09-14 14:01:00;30,04;92,23
D.A.1.C;2020-09-14 14:11:00;36,89;12,98
B.E.3.E;2020-09-14 14:13:00;35,68;86,46
D.D.3.D;2020-09-14 14:15:00;29,42;85,89
A.D.3.D;2020-09-14 15:02:00;27,8;55,6
A.A.S.B;2020-09-14 15:30:00;28,02;2,92
A.D.S.D;2020-09-14 15:40:00;10,95;81,6
A.D.2.A;2020-09-14 16:50:00;22,48;73,65
A.D.2.B;2020-09-14 17:31:00;31,23;67,06
B.E.3.A;2020-09-14 17:51:00;15,55;55,68
D.D.3.C;2020-09-14 17:55:00;16,03;49,93
D.E.3.B;2020-09-14 18:24:00;31,73;72,04
D.B.3.E;2020-09-14 18:52:00;29,25;63,63
E.D.3.C;2020-09-14 19:08:00;14,36;63,57
B.A.2.B;2020-09-14 19:13:00;28,73;83,62
E.A.S.E;2020-09-14 19:22:00;30,65;21,67
C.B.3.D;2020-09-14 19:24:00;31,15;70,71
E.D.3.C;2020-09-14 19:48:00;37,36;2,27
E.D.S.C;2020-09-14 20:13:00;16,39;9,57
D.E.0.E;2020-09-14 21:06:00;11,21;67,69
B.E.0.E;2020-09-14 21:23:00;33,72;9,8
E.C.2.E;2020-09-14 21:25:00;25,16;65,95
A.C.2.D;2020-09-14 21:42:00;23,51;5,56
B.D.2.B;2020-09-14 22:29:00;17,83;55,33
D.E.S.D;2020-09-14 22:55:00;35,05;73,31
B.E.2.E;2020-09-14 23:09:00;30,7;91,3
E.D.3.C;2020-09-14 23:55:00;14,09;42,86
B.C.3.C;2020-09-15 00:03:00;12,65;4,05
B.D.3.C;2020-09-15 00:59:00;19,97;12,34
A.A.2.B;2020-09-15 01:04:00;31,92;0,13
E.A.2.B;2020-09-15 02:58:00;20,74;45,01
C.C.0.B;2020-09-15 04:08:00;20,01;98,53
C.E.3.A;2020-09-15 04:28:00;25,79;29,11
B.A.S.B;2020-09-15 04:58:00;32,55;71,02
A.E.2.D;2020-09-15 05:30:00;35,95;79,96
D.A.0.A;2020-09-15 05:37:00;23,55;73,55
C.D.2.B;2020-09-15 05:41:00;27,55;54,59
B.B.3.C;2020-09-15 05:46:00;11,79;14,3
E.E.S.C;2020-09-15 07:34:00;23,79;74,34
C.C.S.A;2020-09-15 08:52:00;33,64;43,55
A.B.1.A;2020-09-15 09:04:00;32,7;39,77
C.C.2.B;2020-09-15 09:54:00;36,19;62,42
B.B.2.B;2020-09-15 10:28:00;10,29;14,17
E.B.S.A;2020-09-15 10:48:00;30,61;99,68
E.A.1.E;2020-09-15 11:06:00;13,21;53,63
C.E.3.D;2020-09-15 11:14:00;12,72;75,13
D.D.2.C;2020-09-15 11:20:00;29,07;13,59
D.C.S.A;2020-09-15 11:35:00;20,71;12,71
C.C.1.A;2020-09-15 11:56:00;12,6;50,2
B.A.1.D;2020-09-15 12:07:00;12,55;61,25
E.D.1.A;2020-09-15 12:12:00;24,6;13,33
C.A.2.B;2020-09-15 12:36:00;10,38;70,6
E.D.S.D;2020-09-15 12:59:00;33,76;38,68
E.C.2.D;2020-09-15 13:19:00;10,35;47,24
B.B.0.D;2020-09-15 13:23:00;16,3;59,18
E.A.3.E;2020-09-15 13:58:00;34,35;19,01
E.B.S.C;2020-09-15 14:27:00;22,37;27,27
E.A.1.D;2020-09-15 14:37:00;35,8;33,16
C.B.S.A;2020-09-15 16:09:00;35,17;99,12
D.A.S.E;2020-09-15 17:00:00;35,07;83,8
E.E.S.E;2020-09-15 17:18:00;13,16;53,11
C.E.S.B;2020-09-15 17:48:00;33,1;38,51
E.D.3.D;2020-09-15 18:05:00;32,92;4,36
A.B.2.B;2020-09-15 18:19:00;22,3;67,23
D.C.2.D;2020-09-15 18:51:00;34,79;6,73
A.B.0.B;2020-09-15 18:53:00;29,69;83,16
A.B.2.C;2020-09-15 18:58:00;33,83;55,63
E.B.S.A;2020-09-15 19:21:00;12,63;68,75
D.C.2.B;2020-09-15 19:43:00;22,37;76,92
E.A.1.C;2020-09-15 20:01:00;24,14;60,41
B.E.3.C;2020-09-15 20:10:00;18,01;70,43
E.D.1.B;2020-09-15 20:14:00;26,38;95,31
A.E.3.D;2020-09-15 20:46:00;22,88;70,02
C.E.2.A;2020-09-15 22:28:00;11,29;12,04
A.E.2.E;2020-09-15 22:56:00;11,32;23,1
A.B.2.B;2020-09-15 23:57:00;33,12;55,06
A.C.0.E;2020-09-16 00:33:00;23,24;12,35
C.E.S.E;2020-09-16 00:44:00;17,79;32,48
C.E.2.D;2020-09-16 00:49:00;13,91;84,26
A.A.0.D;2020-09-16 01:13:00;33,65;56,0
E.A.3.A;2020-09-16 01:55:00;21,01;6,35
C.C.1.A;2020-09-16 02:12:00;24,9;53,74
C.A.S.D;2020-09-16 03:23:00;36,76;27,88
C.E.S.C;2020-09-16 03:33:00;30,84;74,21
B.B.0.A;2020-09-16 03:46:00;35,7;89,1
C.A.2.B;2020-09-16 03:58:00;22,82;18,57
C.B.1.C;2020-09-16 04:04:00;23,09;71,01
D.D.2.E;2020-09-16 04:39:00;23,61;91,16
E.B.1.B;2020-09-16 05:36:00;36,01;31,15
C.C.1.C;2020-09-16 06:20:00;13,7;59,2
E.D.0.D;2020-09-16 06:38:00;32,37;82,9
C.C.0.B;2020-09-16 08:57:00;37,41;4,11
A.A.1.C;2020-09-16 09:47:00;26,37;58,36
A.C.1.B;2020-09-16 09:54:00;12,73;89,63
C.A.1.E;2020-09-16 10:19:00;28,79;40,55
B.A.1.E;2020-09-16 10:50:00;17,28;59,03
C.D.2.C;2020-09-16 11:06:00;35,56;25,15
C.A.3.C;2020-09-16 11:14:00;30,35;7,03
D.E.2.E;2020-09-16 12:00:00;27,49;41,0
B.C.2.C;2020-09-16 12:12:00;13,99;90,35
A.C.S.B;2020-09-16 12:48:00;14,6;84,61
D.E.0.C;2020-09-16 14:37:00;20,81;90,48
A.A.0.E;2020-09-16 15:00:00;15,74;53,83
A.E.2.A;2020-09-16 15:18:00;34,59;54,26
B.B.S.B;2020-09-16 15:25:00;25,5;4,49
E.C.2.D;2020-09-16 15:25:00;28,64;34,38
E.D.S.A;2020-09-16 16:03:00;26,97;19,73
D.A.3.A;2020-09-16 16:18:00;34,5;84,3
D.D.2.B;2020-09-16 18:22:00;30,54;41,34
A.E.3.B;2020-09-16 18:25:00;27,67;74,98
C.D.S.D;2020-09-16 18:28:00;18,93;83,59
A.E.3.A;2020-09-16 19:33:00;15,36;34,85
A.B.2.B;2020-09-16 20:07:00;35,59;48,73
C.C.2.B;2020-09-16 21:24:00;13,91;81,58
B.C.0.A;2020-09-16 22:04:00;18,88;0,38
B.B.3.B;2020-09-16 22:31:00;17,92;41,63
E.D.S.B;2020-09-16 22:31:00;25,52;15,38
A.B.0.E;2020-09-16 23:39:00;29,4;41,19
D.B.2.E;2020-09-17 00:16:00;10,61;91,6
D.A.S.D;2020-09-17 00:25:00;19,48;93,22
A.D.3.E;2020-09-17 00:28:00;23,63;60,85
B.C.S.B;2020-09-17 00:58:00;12,47;34,06
E.C.3.B;2020-09-17 02:27:00;25,02;86,32
A.C.S.D;2020-09-17 02:38:00;17,69;13,7
C.B.1.A;2020-09-17 03:02:00;14,49;10,75
E.A.3.C;2020-09-17 03:02:00;25,94;92,52
D.D.2.E;2020-09-17 03:28:00;24,3;28,39
A.E.0.D;2020-09-17 05:57:00;25,04;60,06
B.E.3.D;2020-09-17 06:24:00;36,9;50,9
E.E.1.E;2020-09-17 06:27:00;29,97;28,22
D.B.0.C;2020-09-17 06:28:00;27,11;56,56
A.A.S.B;2020-09-17 07:36:00;16,22;35,28
D.D.S.E;2020-09-17 07:43:00;13,57;84,56
A.A.2.A;2020-09-17 08:31:00;36,9;71,42
D.C.S.B;2020-09-17 09:32:00;25,87;41,06
A.B.0.E;2020-09-17 10:05:00;24,41;98,26
C.D.0.A;2020-09-17 10:21:00;16,33;99,64
C.C.1.C;2020-09-17 10:32:00;17,74;95,3
E.D.0.C;2020-09-17 10:47:00;25,32;63,47
A.E.0.B;2020-09-17 11:12:00;19,93;65,44
B.E.2.E;2020-09-17 12:31:00;33,39;75,35
C.A.1.E;2020-09-17 12:38:00;24,93;76,68
B.B.2.A;2020-09-17 12:57:00;26,08;62,19
C.D.1.D;2020-09-17 15:01:00;25,27;89,03
B.D.3.D;2020-09-17 15:18:00;21,09;36,72
A.B.1.E;2020-09-17 16:16:00;17,12;57,6
E.D.2.C;2020-09-17 16:22:00;14,65;62,82
E.E.1.C;2020-09-17 16:57:00;36,2;77,46
D.E.3.B;2020-09-17 17:05:00;17,81;95,69
C.A.S.A;2020-09-17 17:12:00;16,34;23,83
C.C.0.B;2020-09-17 17:18:00;31,83;56,97
C.A.S.D;2020-09-17 17:21:00;32,98;35,48
C.D.1.B;2020-09-17 18:09:00;20,01;67,47
C.E.2.C;2020-09-17 18:35:00;22,27;63,07
B.A.0.E;2020-09-17 19:01:00;20,13;80,15
E.C.S.E;2020-09-17 20:02:00;23,6;71,24
C.B.3.A;2020-09-17 20:55:00;13,36;31,09
D.B.1.C;2020-09-17 21:49:00;12,41;72,76
D.E.1.E;2020-09-17 22:19:00;34,97;56,41
D.C.2.A;2020-09-17 22:57:00;12,49;83,25
C.E.1.C;2020-09-17 23:18:00;24,21;83,03
A.E.2.E;2020-09-18 00:06:00;26,0;76,29
D.E.2.A;2020-09-18 00:11:00;30,23;61,88
A.E.1.B;2020-09-18 00:42:00;24,14;81,5
B.D.2.A;2020-09-18 01:13:00;13,4;93,64
C.B.0.A;2020-09-18 01:14:00;22,4;15,05
A.C.2.C;2020-09-18 01:34:00;28,87;32,32
A.C.S.B;2020-09-18 02:37:00;10,27;71,43
B.A.2.C;2020-09-18 03:26:00;26,0;41,1
C.A.0.C;2020-09-18 05:15:00;13,16;35,12
C.D.1.A;2020-09-18 05:27:00;31,03;5,16
B.B.1.A;2020-09-18 05:42:00;34,39;96,85
B.C.2.A;2020-09-18 05:56:00;31,69;7,35
E.A.1.C;2020-09-18 06:40:00;13,28;20,96
B.A.1.C;2020-09-18 07:47:00;10,38;51,79
E.B.3.A;2020-09-18 08:11:00;23,95;59,88
C.B.1.C;2020-09-18 08:21:00;17,92;35,64
C.C.S.C;2020-09-18 08:23:00;17,91;3,14
C.E.3.E;2020-09-18 09:55:00;10,88;3,2
B.B.1.A;2020-09-18 10:00:00;21,39;16,21
E.D.2.E;2020-09-18 10:16:00;21,79;14,34
C.D.S.E;2020-09-18 10:40:00;26,25;1,66
C.A.1.B;2020-09-18 11:03:00;34,76;3,83
B.B.0.D;2020-09-18 11:28:00;28,47;82,28
A.A.3.B;2020-09-18 11:48:00;26,96;52,99
E.D.1.C;2020-09-18 12:58:00;29,56;15,5
A.E.S.B;2020-09-18 13:12:00;31,25;47,95
B.E.2.C;2020-09-18 13:46:00;31,07;86,03
E.A.S.E;2020-09-18 13:54:00;26,4;39,38
E.D.2.C;2020-09-18 14:10:00;24,01;15,3
E.A.1.B;2020-09-18 14:47:00;11,58;78,57
D.D.S.C;2020-09-18 15:08:00;19,66;55,2
C.B.1.D;2020-09-18 15:30:00;34,82;61,6
C.D.3.E;2020-09-18 16:02:00;27,09;99,97
C.E.2.E;2020-09-18 16:21:00;29,46;5,37
A.E.1.C;2020-09-18 16:22:00;32,29;38,55
E.E.1.A;2020-09-18 16:50:00;21,81;1,46
B.E.3.D;2020-09-18 17:45:00;24,95;95,92
C.C.0.A;2020-09-18 19:00:00;22,17;39,22
D.E.3.C;2020-09-18 21:09:00;10,43;65,31
B.B.3.D;2020-09-18 22:48:00;25,98;9,65
A.E.3.D;2020-09-18 23:01:00;20,94;93,55
B.D.1.B;2020-09-18 23:15:00;33,72;75,75
C.A.2.C;2020-09-19 00:03:00;23,39;29,7
A.C.3.C;2020-09-19 00:18:00;28,59;29,97
E.E.3.B;2020-09-19 00:28:00;33,86;27,79
E.A.1.B;2020-09-19 00:42:00;15,12;44,4
A.D.0.B;2020-09-19 01:12:00;21,74;2,48
C.C.1.E;2020-09-19 01:15:00;18,33;30,49
B.A.S.D;2020-09-19 03:08:00;27,6;5,99
B.B.S.D;2020-09-19 03:18:00;15,45;61,28
A.B.1.C;2020-09-19 03:28:00;35,7;33,17
D.C.S.B;2020-09-19 03:37:00;36,68;49,46
B.D.2.B;2020-09-19 03:58:00;22,11;85,06
B.D.0.D;2020-09-19 04:16:00;34,01;2,08
E.B.1.D;2020-09-19 04:50:00;26,1;46,92
A.A.0.E;2020-09-19 05:09:00;18,63;55,57
B.B.2.D;2020-09-19 05:28:00;34,63;32,18
A.D.3.B;2020-09-19 06:08:00;28,65;43,73
A.E.2.B;2020-09-19 06:25:00;19,08;98,02
E.E.1.B;2020-09-19 07:20:00;30,02;21,55
C.B.1.A;2020-09-19 07:36:00;14,52;29,83
E.E.2.E;2020-09-19 08:04:00;24,58;76,54
A.A.3.C;2020-09-19 08:27:00;11,42;23,06
A.B.3.B;2020-09-19 08:44:00;10,45;82,03
D.C.1.B;2020-09-19 10:33:00;33,78;35,43
C.A.3.C;2020-09-19 10:44:00;28,89;21,81
E.B.S.C;2020-09-19 11:00:00;20,15;90,66
C.E.S.D;2020-09-19 11:27:00;24,44;21,75
E.C.3.D;2020-09-19 11:30:00;22,51;98,0
E.C.2.D;2020-09-19 11:32:00;35,41;81,77
A.A.1.E;2020-09-19 11:55:00;13,43;62,82
A.A.1.E;2020-09-19 12:13:00;27,83;94,97
C.D.0.B;2020-09-19 12:14:00;17,39;88,25
E.C.S.A;2020-09-19 12:34:00;28,35;95,19
A.A.S.C;2020-09-19 13:54:00;28,31;40,87
C.B.S.D;2020-09-19 14:25:00;11,0;65,26
C.E.1.C;2020-09-19 14:35:00;20,25;50,26
B.D.1.D;2020-09-19 14:50:00;30,96;76,48
E.E.3.B;2020-09-19 15:10:00;30,48;51,09
B.A.2.B;2020-09-19 15:41:00;30,95;61,1
D.D.0.C;2020-09-19 16:20:00;22,76;67,2
A.E.1.E;2020-09-19 16:26:00;31,32;45,21
C.E.S.A;2020-09-19 17:09:00;29,53;16,7
D.A.3.A;2020-09-19 17:17:00;14,67;10,92
A.A.0.A;2020-09-19 18:46:00;20,01;84,05
D.C.2.D;2020-09-19 20:03:00;19,9;8,43
E.E.0.D;2020-09-19 20:15:00;30,71;83,6
A.E.0.A;2020-09-19 21:04:00;12,64;20,09
D.C.2.A;2020-09-19 21:17:00;25,36;28,99
B.B.0.C;2020-09-19 21:23:00;36,67;50,9
D.E.2.B;2020-09-20 00:16:00;22,76;68,39
E.B.3.D;2020-09-20 00:33:00;14,84;29,4
B.C.3.C;2020-09-20 00:51:00;34,96;77,89
B.D.0.E;2020-09-20 01:20:00;33,36;19,06
E.D.3.C;2020-09-20 01:57:00;19,79;87,08
B.C.3.C;2020-09-20 02:04:00;15,08;14,75
E.B.1.B;2020-09-20 03:09:00;23,87;43,8
C.E.3.D;2020-09-20 03:35:00;26,02;52,11
B.E.2.C;2020-09-20 03:57:00;25,89;86,02
D.E.S.C;2020-09-20 04:42:00;21,67;23,32
A.B.2.A;2020-09-20 04:46:00;31,52;3,59
A.C.S.D;2020-09-20 08:37:00;37,38;99,15
A.E.3.A;2020-09-20 08:52:00;22,53;13,63
C.D.3.D;2020-09-20 09:16:00;29,61;60,65
A.D.3.E;2020-09-20 09:20:00;31,59;63,31
B.A.1.D;2020-09-20 10:21:00;15,34;6,17
C.C.2.E;2020-09-20 10:23:00;22,4;62,42
E.A.S.C;2020-09-20 10:34:00;13,46;37,19
B.B.0.A;2020-09-20 10:59:00;10,31;68,48
C.E.3.C;2020-09-20 13:00:00;17,8;51,75
C.B.1.A;2020-09-20 13:02:00;28,11;4,09
A.E.2.C;2020-09-20 14:04:00;15,35;74,31
C.D.1.D;2020-09-20 14:12:00;26,13;29,56
B.A.0.A;2020-09-20 14:18:00;32,58;49,61
A.E.0.B;2020-09-20 15:18:00;21,6;71,07
D.A.S.C;2020-09-20 15:20:00;20,34;77,58
D.E.2.B;2020-09-20 15:41:00;26,72;48,63
D.D.2.B;2020-09-20 16:14:00;19,66;54,17
A.A.3.B;2020-09-20 17:10:00;26,57;75,06
B.C.0.D;2020-09-20 17:16:00;16,35;57,59
A.E.1.B;2020-09-20 17:31:00;33,36;37,78
A.A.2.D;2020-09-20 19:41:00;17,81;82,07
E.C.2.D;2020-09-20 20:48:00;29,07;82,25
A.C.S.C;2020-09-20 22:06:00;14,06;86,32
A.B.2.C;2020-09-20 22:10:00;23,01;15,24
D.A.3.A;2020-09-20 22:36:00;23,09;57,73
B.C.1.E;2020-09-20 22:55:00;36,22;44,27
C.A.3.E;2020-09-20 22:55:00;22,82;49,38
B.B.S.E;2020-09-20 23:10:00;18,23;96,09
C.E.1.A;2020-09-20 23:23:00;26,26;28,44
D.C.3.D;2020-09-20 23:35:00;19,22;44,65
D.C.S.A;2020-09-20 23:38:00;25,83;98,63
E.A.S.B;2020-09-21 01:30:00;21,26;12,51
E.C.3.A;2020-09-21 02:14:00;13,77;20,04
E.D.1.C;2020-09-21 02:27:00;21,08;50,11
A.C.S.A;2020-09-21 03:37:00;12,92;4,89
B.E.1.C;2020-09-21 04:27:00;30,23;61,87
D.A.S.B;2020-09-21 06:12:00;12,75;38,86
A.E.1.D;2020-09-21 06:18:00;32,49;4,91
C.C.0.E;2020-09-21 06:23:00;25,0;23,24
A.D.S.A;2020-09-21 06:24:00;26,83;85,53
E.B.0.C;2020-09-21 06:42:00;24,07;81,79
C.C.S.A;2020-09-21 07:19:00;29,09;82,94
C.A.2.B;2020-09-21 07:48:00;20,27;33,91
E.A.S.A;2020-09-21 08:38:00;22,67;30,0
E.D.2.E;2020-09-21 08:51:00;35,35;49,57
D.D.2.A;2020-09-21 09:50:00;13,63;42,22
D.E.3.B;2020-09-21 10:53:00;15,37;95,22
E.E.3.D;2020-09-21 11:19:00;14,0;21,66
C.D.3.C;2020-09-21 11:49:00;10,1;48,35
B.D.1.C;2020-09-21 12:11:00;18,5;15,82
A.E.1.A;2020-09-21 12:30:00;34,43;79,2
B.C.3.D;2020-09-21 12:38:00;21,43;69,17
B.E.S.E;2020-09-21 12:50:00;22,35;71,46
D.D.1.B;2020-09-21 13:25:00;29,29;96,31
B.D.0.C;2020-09-21 14:00:00;14,83;17,81
B.D.2.E;2020-09-21 14:25:00;20,26;0,45
D.A.3.A;2020-09-21 14:43:00;24,27;55,06
C.C.0.A;2020-09-21 14:44:00;11,57;92,04
C.C.S.D;2020-09-21 14:49:00;30,91;22,49
E.E.1.B;2020-09-21 16:21:00;28,07;4,38
E.A.1.A;2020-09-21 16:25:00;21,33;10,74
C.D.S.D;2020-09-21 16:55:00;10,25;6,11
A.B.2.D;2020-09-21 17:25:00;24,63;25,93
D.C.1.E;2020-09-21 17:45:00;20,62;68,12
C.D.2.D;2020-09-21 18:32:00;15,9;75,11
B.C.0.A;2020-09-21 20:06:00;18,73;70,61
A.E.S.D;2020-09-21 20:58:00;17,37;58,56
B.B.2.A;2020-09-21 21:08:00;12,86;55,41
A.E.1.A;2020-09-21 21:17:00;19,31;34,57
C.B.3.B;2020-09-21 21:21:00;16,03;23,84
A.E.3.B;2020-09-21 21:26:00;30,0;30,23
C.C.0.C;2020-09-21 21:52:00;36,84;53,77
B.C.0.A;2020-09-21 22:07:00;31,37;14,17
B.D.0.E;2020-09-21 23:18:00;19,67;46,52
A.A.0.E;2020-09-21 23:53:00;36,95;59,33
C.D.3.A;2020-09-22 00:00:00;11,59;2,23
